托育資源 0.003235(83/83)	頒獎典禮 0.002455(66/172)	實際行動 0.002339(68/160)	資源中心 0.002066(54/76)	新車 0.001598(43/358)	小貓熊 0.001559(40/40)	兩岸人民 0.001559(41/194)	空氣汙染 0.001481(37/64)	促銷活動 0.001442(37/124)	社會局表示 0.001442(38/49)	
基本工資 0.014131(395/700)	物價指數 0.007914(221/292)	工資審議 0.006642(188/188)	幸福人壽 0.006607(187/187)	國寶人壽 0.005829(163/295)	消費者物價 0.005582(164/226)	審議委員會 0.005017(145/290)	勞動部 0.002791(79/460)	勞動力發展 0.002544(68/152)	勞動條件 0.002403(65/92)	
鐵路電氣化 0.009517(310/310)	花東鐵路 0.009026(294/294)	普悠瑪號 0.00875(286/286)	媒體報導 0.00746(240/830)	到台東 0.00482(157/192)	中央社翻譯 0.003961(129/318)	普悠瑪列車 0.003531(115/115)	高架化 0.003377(110/131)	鐵路高架 0.002763(89/97)	弱勢團體 0.002548(92/140)	
電子商務 0.006974(178/722)	認購權證 0.005306(137/240)	法人認為 0.00326(88/206)	蘋果公司 0.002994(81/117)	獲利了結 0.002919(77/142)	國泰證 0.002805(73/102)	房祖名 0.002767(73/83)	積極布局 0.002691(73/116)	去年9月 0.00254(62/144)	維持穩定 0.00254(69/112)	
基金經理人 0.011698(330/824)	資料顯示 0.008578(234/536)	貨幣政策 0.00794(226/346)	法人表示 0.005991(168/447)	大股東 0.00553(167/356)	歐洲央行 0.005246(151/212)	企業獲利 0.00514(139/251)	商業銀行 0.004148(110/157)	報導指出 0.003793(112/498)	金融服務 0.002942(83/172)	
媒體報導 0.002964(83/830)	去年10月 0.002149(45/148)	救人 0.002001(54/190)	積水容器 0.001964(53/59)	旗艦計畫 0.001815(48/64)	6月27日 0.001778(43/104)	8月27日 0.001778(52/146)	王女士 0.001704(46/46)	信保基金 0.001667(45/55)	沒問題 0.001593(40/196)	
台北國際 0.006231(190/332)	世界盃足球賽 0.003235(95/220)	特任副主委 0.002758(81/81)	觀光工廠 0.002724(82/174)	生物科技 0.00269(80/170)	移送調查局 0.002418(71/71)	南港展覽館 0.002384(71/97)	副主委張顯耀 0.002315(69/149)	工作疑點 0.002281(67/67)	慈善基金會 0.002179(65/255)	
台塑集團 0.008164(223/292)	生物多樣性 0.00589(160/248)	氣候變遷 0.00507(138/360)	河靜鋼鐵 0.004772(128/128)	為例 0.004585(120/836)	生態旅遊 0.002349(64/117)	提供民眾 0.002274(58/168)	交通工具 0.001939(55/144)	中央社翻譯 0.001864(48/318)	到花蓮 0.001641(40/68)	
房地合一 0.012961(478/478)	實價課稅 0.010412(381/390)	十二年國教 0.009355(344/352)	12年國教 0.009111(334/404)	免試入學 0.007457(275/275)	特色招生 0.004528(167/167)	合一實價 0.00404(149/149)	級分 0.003417(125/130)	國中會考 0.003173(117/117)	馬英九總統 0.00301(107/714)	
主辦單位 0.009476(249/532)	台灣市場 0.004056(111/286)	清算行 0.002957(78/78)	今年3月 0.002919(75/370)	詐騙集團 0.002881(76/76)	身心障礙 0.00235(62/520)	今年1月 0.002199(56/236)	汽車零件 0.002047(54/58)	為目標 0.001971(48/178)	財政健全 0.001933(50/126)	
中華電信 0.012781(343/1046)	今天下午 0.010532(268/406)	政務委員 0.007122(187/222)	發言人孫立群 0.006747(178/262)	行政院發言人 0.005997(155/224)	集團旗下 0.005772(157/382)	台北股市 0.005622(155/355)	金融機構 0.00521(139/352)	公司董事長 0.004798(128/320)	發布新聞稿 0.004798(126/180)	
