馬政府 0.009833(278/612)	黃埔建軍 0.004696(134/148)	為例 0.004457(135/836)	今年7月 0.004083(133/302)	現金股利 0.003879(113/282)	防空飛彈 0.003573(106/115)	獲利表現 0.002416(70/178)	消費市場 0.002144(61/120)	配發現金 0.002076(60/144)	公共工程 0.001838(50/146)	
新北市長 0.024267(1189/1236)	市長朱立倫 0.01954(954/1004)	新北市 0.013259(638/2388)	國民黨團 0.011274(550/555)	監察委員 0.008594(421/506)	召開記者會 0.008185(381/822)	市長陳菊 0.006364(310/884)	條例草案 0.006241(301/348)	立法院長王金平 0.00575(280/308)	台中市長 0.00534(267/622)	
合併營收 0.014879(462/1277)	台灣高鐵 0.005703(177/252)	高鐵公司 0.004779(148/168)	國寶人壽 0.004269(132/295)	太陽光電 0.003887(125/174)	季合併 0.003728(115/341)	今年度 0.003441(116/268)	媒體詢問 0.002995(98/280)	公司表示 0.002804(81/290)	預計今年 0.002708(87/280)	
應變中心 0.009126(252/470)	求職者 0.003906(113/264)	感染者 0.003322(90/150)	愛滋感染 0.003249(89/89)	線上報名 0.003213(87/100)	穿戴裝置 0.002957(82/234)	工作人員 0.002702(67/512)	海外不動產 0.002665(74/78)	投資說明會 0.0023(63/63)	為免費 0.002227(61/61)	
縣長參選人 0.007429(221/253)	世界盃足球賽 0.002965(88/220)	參選人游錫坤 0.002522(81/95)	民進黨新北 0.002181(67/95)	彰化縣長 0.002147(62/174)	游錫坤說 0.001704(51/53)	6月26日 0.00167(52/218)	市長提名人 0.001636(49/105)	綠建築 0.001432(44/196)	巴拿馬運河 0.001363(40/126)	
103年7月 0.014853(437/586)	創新高 0.008385(254/652)	統一渡假村 0.006533(201/205)	鹿港文創 0.005168(159/159)	創會館 0.004908(151/151)	總統大選 0.004323(132/460)	7月營收 0.003055(96/251)	舉行總統 0.002698(83/83)	產能利用率 0.002568(79/194)	總統選舉 0.002308(67/93)	
冰桶挑戰 0.010313(314/318)	協會理事長 0.007686(240/388)	凍人募款 0.003022(92/92)	接受挑戰 0.002989(88/132)	前立委顏清標 0.002956(90/90)	捐錢 0.002102(67/88)	凍人協會 0.001971(61/148)	挑戰者 0.001971(62/66)	淋冰水 0.001971(60/60)	公益活動 0.001872(56/340)	
海峽兩岸 0.002702(76/350)	庇護工場 0.002356(67/96)	旗魚酥 0.002287(66/66)	暑假期間 0.002252(59/302)	新創事業 0.002044(59/135)	自然生態 0.001698(50/138)	目前全球 0.001663(46/126)	台北市衛生局 0.00149(50/75)	管理署 0.001421(42/57)	生態園區 0.001317(38/76)	
政務委員 0.006607(184/222)	發言人孫立群 0.005663(150/262)	行政院發言人 0.005244(147/224)	科技大學 0.004685(130/370)	新技術 0.003111(87/138)	世足賽 0.002972(95/400)	行政院政務 0.002342(65/116)	孫立群表示 0.002273(63/96)	旅遊旺季 0.002133(54/158)	指數下跌 0.002063(59/209)	
市長參選人 0.014098(416/712)	民調結果 0.005981(178/326)	8月7日 0.003911(118/280)	官員說 0.003615(110/324)	人認為 0.003254(100/254)	8月1日 0.002859(90/438)	歡迎民眾 0.002662(79/204)	宣布參選 0.002662(84/273)	國民黨提名 0.002432(70/266)	副總統吳敦義 0.001808(56/356)	
