台獨黨綱 0.013398(477/491)	高雄市長 0.012134(432/772)	主席蔡英文 0.011601(421/566)	支持者 0.010112(361/526)	市長賴清德 0.008539(313/388)	總統大選 0.007696(279/460)	台南市長 0.007022(243/298)	服貿協議 0.005815(211/822)	人士說 0.005393(189/238)	大法人 0.005253(187/361)	
江院長 0.00343(109/166)	社會各界 0.003052(97/190)	大飯店 0.002612(80/448)	七股海鮮節 0.002077(66/66)	慈善基金會 0.001983(67/255)	無人 0.00192(59/540)	國家公園 0.001794(58/484)	集團總裁 0.001762(56/156)	研究機構 0.001762(55/138)	幹細胞 0.001699(53/92)	
鐵路電氣化 0.009155(310/310)	花東鐵路 0.008683(294/294)	普悠瑪號 0.008446(286/286)	到台東 0.004725(160/192)	普悠瑪列車 0.003396(115/115)	台北到 0.002422(84/104)	電氣化通車 0.002274(77/77)	發表聲明 0.002156(68/404)	通車典禮 0.002008(68/68)	日本首相 0.001949(64/204)	
客家文化 0.003638(104/254)	無人 0.003099(87/540)	不少人 0.002089(67/226)	緊急應變 0.002021(58/130)	8月23日 0.001988(57/72)	畢業證書 0.00192(57/78)	中華民國遠征軍 0.001819(54/54)	搖滾音樂 0.001651(51/59)	江西省委 0.001415(42/55)	縣長劉政鴻 0.001348(45/92)	
來回機票 0.00387(114/125)	即日起到 0.002797(93/114)	新產品 0.002732(86/521)	氣候變遷 0.002211(69/360)	鼓勵民眾 0.002179(64/168)	購票 0.002114(59/238)	8月21日 0.001724(49/134)	衛星導航 0.001594(48/53)	現金股利 0.001594(50/282)	起到8月 0.001529(48/56)	
房地合一 0.013927(478/478)	實價課稅 0.011363(388/390)	合一實價 0.004341(149/149)	今天表示 0.003904(147/1074)	合一課稅 0.003817(131/131)	財政部長張盛和 0.003351(117/152)	不動產交易 0.003234(110/123)	自用住宅 0.003147(99/167)	食品安全 0.002593(84/168)	長期持有 0.002564(88/92)	
中央公園 0.004878(161/200)	電子票證 0.004357(147/164)	高雄捷運 0.004234(143/204)	官員說 0.00362(116/324)	貿易協定 0.003222(98/328)	台北捷運 0.002884(94/288)	調查發現 0.0027(89/210)	8月15日 0.002424(89/216)	今年5月 0.001964(58/354)	台日通 0.001841(60/60)	
來台 0.016093(527/2678)	新北市政府 0.0066(223/470)	國家風景區 0.003707(123/140)	近年來 0.003104(103/320)	遊客中心 0.002652(86/137)	永續發展 0.002562(87/262)	穩定成長 0.002321(82/200)	國民黨中常會 0.0022(74/204)	晶英酒店 0.00211(67/81)	路跑活動 0.00208(69/148)	
國是會議 0.015194(468/468)	經貿國是 0.014285(440/440)	103年6月 0.013051(397/604)	交換意見 0.004675(145/358)	6月13日 0.002825(85/132)	經濟研究院 0.00263(80/106)	蓬勃發展 0.002468(75/174)	全球市場 0.002468(69/174)	台灣經濟 0.002208(72/728)	全國大會 0.001948(60/60)	
基本工資 0.00981(297/700)	工資審議 0.006273(188/188)	審議委員會 0.004805(139/290)	僑教中心 0.00347(103/111)	電力公司 0.002836(84/152)	物價指數 0.002603(79/292)	勞動部 0.002302(66/460)	惠明盲校 0.002069(62/86)	台電公司 0.002036(61/112)	再生能源 0.001935(61/444)	
