高收益 0.007778(485/485)	新興市場 0.007762(489/942)	彭博報導 0.006078(377/394)	收益債 0.005276(329/329)	物價指數 0.003384(207/292)	經濟成長 0.00332(203/864)	消費者物價 0.00271(170/226)	季經濟 0.00247(155/183)	資產配置 0.002374(149/152)	債券基金 0.002358(147/147)	
台北市長參選人 0.00813(435/1282)	伊波拉病毒 0.005347(292/292)	專案小組 0.003149(167/266)	空氣品質 0.003003(163/186)	主管機關 0.002838(150/1112)	都市計畫 0.002728(148/444)	區段徵收 0.00238(132/170)	開發單位 0.002234(122/122)	桃園航空城 0.002069(114/208)	航空城計畫 0.001941(105/114)	
外貿協會 0.003834(195/230)	道瓊工業 0.003436(173/173)	智慧手機 0.003118(156/348)	指數上漲 0.002979(145/293)	指數下跌 0.002801(135/209)	中央公園 0.002682(136/200)	工業指數 0.002483(125/125)	英國倫敦 0.002463(121/158)	創新高 0.002403(121/652)	經濟成長 0.002086(113/864)	
下午4時 0.003939(225/536)	馬來西亞航空 0.00236(133/146)	創下歷史 0.002289(128/248)	河靜鋼鐵 0.002271(128/128)	化學物質 0.002094(117/152)	消費滿 0.002058(108/248)	者家屬 0.002041(111/258)	飛彈擊落 0.002041(117/198)	俄羅斯總統 0.002023(114/114)	發言人孫立群 0.002005(112/262)	
石化專區 0.00948(496/522)	石化管線 0.003957(214/528)	經濟發展 0.003364(166/1042)	公民團體 0.002523(133/274)	認購權證 0.002485(130/240)	立法院臨時會 0.002064(104/301)	公共建設 0.001969(101/258)	雲端服務 0.00172(84/176)	石化產業 0.001701(89/321)	獲利了結 0.001625(79/142)	
行政院長江 0.010276(556/728)	長江宜樺 0.009272(496/702)	民進黨立委 0.005928(318/734)	鐵路電氣化 0.00576(310/310)	花東鐵路 0.005463(294/294)	普悠瑪號 0.005314(286/286)	江宜樺 0.004274(230/300)	今天表示 0.00288(159/1074)	到台東 0.00288(156/192)	江院長 0.002583(137/166)	
社會住宅 0.003469(178/792)	總統朴槿惠 0.003305(167/228)	8月7日 0.00312(158/280)	靖國神社 0.002791(136/136)	主席習 0.002607(131/484)	南韓總統 0.002545(124/186)	作業系統 0.002278(111/167)	媒體詢問 0.00195(94/280)	約新台幣 0.001888(90/228)	新產品 0.001765(81/521)	
幸福人壽 0.003663(187/187)	國寶人壽 0.003213(164/295)	僑教中心 0.002175(111/111)	共同決定 0.002038(108/135)	環境保護 0.001763(93/274)	駐美 0.001685(85/122)	購票 0.001646(89/238)	解決問題 0.001587(83/356)	人民決定 0.001587(82/115)	國民黨中央 0.001469(74/184)	
服貿協議 0.006939(394/822)	投資者 0.004076(226/362)	自由貿易 0.003566(209/474)	股份有限公司 0.002969(169/288)	貿易協定 0.002635(146/328)	中國大陸 0.002582(136/4584)	審議委員會 0.002389(130/290)	大陸市場 0.00202(113/674)	主委曾銘宗 0.001968(108/226)	金管會主委 0.001968(112/230)	
高雄氣爆 0.026712(2362/2368)	氣爆事件 0.014928(1319/1320)	高雄市政府 0.008991(805/1468)	總統馬英九 0.006695(591/1040)	氣爆意外 0.004546(402/402)	李長榮化工 0.004094(362/362)	石化管線 0.00363(314/528)	2014年8月 0.00363(318/796)	石化氣爆 0.003506(310/310)	發生氣爆 0.003415(302/302)	
智慧型手機 0.008762(494/1126)	平板電腦 0.005635(317/636)	交通部觀光局 0.004261(247/300)	為例 0.00402(226/836)	馬政府 0.003728(210/612)	來台 0.003556(188/2678)	統一渡假村 0.00347(201/205)	台灣觀光 0.003453(204/266)	台灣大道 0.003247(188/246)	快捷巴士 0.00323(185/202)	
合宜住宅 0.00797(413/944)	世足賽 0.00408(206/400)	再生能源 0.002803(144/444)	身心障礙 0.002593(125/520)	八德合宜 0.002517(136/269)	新台幣兌 0.002326(121/259)	涉貪 0.00225(117/343)	馬政府 0.002193(109/612)	障礙者 0.002174(115/314)	字頭 0.002116(108/188)	
地方政府 0.013233(646/1190)	新產品 0.004937(239/521)	客家文化 0.00419(205/254)	集會遊行 0.002137(103/103)	昨天上午 0.002116(96/222)	國際大廠 0.001846(87/150)	成為全球 0.001805(97/246)	公司表示 0.001701(77/290)	一段時間 0.001597(77/334)	海峽兩岸 0.001597(81/350)	
季營收 0.008937(475/943)	十二年國教 0.006475(349/352)	12年國教 0.006251(337/404)	年增 0.00528(279/694)	免試入學 0.005131(275/275)	業者表示 0.004366(220/346)	為例 0.003639(200/836)	新車 0.003172(162/358)	中油公司 0.003135(160/212)	特色招生 0.003116(167/167)	
來台 0.028614(2123/2678)	兩岸關係 0.019336(1452/1526)	國台辦主任 0.012936(957/968)	主任張志軍 0.012626(939/954)	訪台 0.007718(573/858)	大陸國台辦 0.005822(431/628)	台灣民眾 0.005755(426/560)	經濟成長 0.005392(398/864)	和平發展 0.005056(378/390)	主委王郁琦 0.004814(359/390)	
國家公園 0.005193(268/484)	高速公路 0.003855(190/264)	身心障礙 0.003541(185/520)	台灣市場 0.002184(115/286)	系列活動 0.002184(110/226)	7月1日 0.002006(105/602)	注中獎 0.001947(100/237)	美國商會 0.001928(98/106)	文化藝術 0.001849(93/120)	自由行 0.00181(93/186)	
103年8月 0.008691(418/580)	數據顯示 0.004243(199/302)	服務品質 0.00276(135/268)	新低 0.002286(109/200)	新竹米粉 0.002245(109/109)	大陸房市 0.002142(103/104)	高雄市府 0.00206(100/212)	中國經濟 0.001751(89/197)	產業園區 0.00173(78/180)	研究中心 0.001565(75/306)	
消息人士 0.003825(215/378)	台中市政府 0.003138(167/312)	嚴部長 0.002748(148/148)	海軍陸戰隊 0.002507(139/172)	推薦新聞 0.002172(134/552)	加密手機 0.00195(105/105)	模範父親 0.001875(101/121)	太陽光電 0.001875(103/174)	國際油價 0.001671(90/207)	國家安全 0.001615(88/422)	
罹難者 0.007607(424/784)	復興航空 0.006774(373/668)	強陣風 0.00288(160/311)	主辦單位 0.002826(155/532)	澎湖空難 0.002318(129/226)	馬公機場 0.001956(108/108)	資料顯示 0.001884(105/536)	航空公司 0.001775(101/808)	貿易協定 0.001612(93/328)	復興空難 0.001467(81/81)	
新北市 0.021303(1234/2388)	房地合一 0.007153(409/478)	實價課稅 0.004326(241/390)	教宗方濟 0.003275(190/190)	實價登錄 0.003137(180/248)	台塑集團 0.003103(181/292)	做事 0.003034(180/280)	房仲業者 0.002999(171/216)	合一實價 0.002327(129/149)	弱勢家庭 0.002275(134/316)	
