副總統吳敦義 0.007721(203/356)	金額新台幣 0.005135(142/191)	成交金額 0.004285(113/456)	台北股市 0.00362(95/355)	國民黨主席 0.003583(101/218)	股價指數 0.003288(90/234)	指數成為 0.003103(84/84)	股市今天 0.002845(81/247)	社會住宅 0.002734(73/792)	貿易協議 0.002697(75/339)	
自由經濟 0.013073(381/770)	經濟示範區 0.012304(368/708)	特別條例 0.006319(187/392)	示範區特別 0.004781(146/296)	解決問題 0.003377(97/356)	台灣前途 0.003177(96/264)	遠通公司 0.002107(63/90)	7月3日 0.002107(59/140)	即時通訊 0.002073(61/72)	人認為 0.002006(68/254)	
行政院長江 0.021454(609/728)	長江宜樺 0.019755(558/702)	民進黨立委 0.016746(483/734)	江宜樺 0.008461(240/300)	新竹米粉 0.003824(109/109)	黨中央 0.002903(85/490)	就職典禮 0.002549(74/176)	國營事業 0.00216(63/210)	持股比重 0.002054(59/98)	捷運局長 0.001735(50/66)	
新產品 0.009131(306/521)	普悠瑪號 0.007905(253/286)	搭車 0.006619(204/292)	人受傷 0.005209(183/330)	成為全球 0.004964(155/246)	電子票證 0.004964(162/164)	到台東 0.00478(156/192)	7月1日 0.004566(147/602)	鐵路電氣化 0.003984(128/310)	高雄捷運 0.003646(120/204)	
台獨黨綱 0.014599(484/491)	主席蔡英文 0.01289(436/566)	高雄市長 0.01265(420/772)	服貿協議 0.010792(362/822)	支持者 0.010432(350/526)	市長賴清德 0.010132(337/388)	台南市長 0.008454(281/298)	總統大選 0.008064(270/460)	兩岸政策 0.005666(187/215)	凍結台獨 0.005606(187/187)	
合併營收 0.029354(1031/1277)	季合併 0.00777(273/341)	年增 0.007425(255/694)	營收為 0.004173(138/321)	6月合併 0.003713(130/145)	主辦單位 0.003137(106/532)	7月營收 0.003022(114/251)	法人預期 0.002705(100/190)	美國經濟 0.002418(85/216)	7月合併 0.002389(83/102)	
中央氣象局 0.013657(604/604)	短暫陣雨 0.012934(572/572)	氣象局表示 0.008931(394/395)	提醒民眾 0.008886(395/426)	午後雷陣雨 0.007552(333/335)	太平洋高壓 0.006964(308/308)	瞬間大雨 0.006082(269/269)	外圍環流 0.006082(269/269)	熱帶性低氣壓 0.006037(267/267)	補充水分 0.005834(260/310)	
暑假期間 0.005411(150/302)	觀光產業 0.005048(138/384)	台灣國際 0.002542(65/200)	副主委張顯耀 0.001889(51/149)	綠竹筍 0.001707(42/88)	環境教育 0.001598(50/160)	妹遊戲 0.001598(44/44)	季度 0.001598(42/90)	龍王鯛 0.001489(41/41)	學習梯隊 0.00138(38/38)	
媒體報導 0.005981(176/830)	美國商會 0.00324(93/106)	線上遊戲 0.003097(90/134)	人士指出 0.003062(81/370)	巡弋飛彈 0.003026(89/103)	去年10月 0.002884(84/148)	台塑化 0.002706(75/80)	手機遊戲 0.002563(72/122)	彈道飛彈 0.002279(62/153)	影響台灣 0.001994(52/252)	
保險公司 0.011627(306/406)	官員表示 0.003366(86/444)	沒人 0.002754(76/364)	颱風外圍 0.00218(54/137)	開發單位 0.001951(50/122)	省市 0.001836(47/94)	不動產統一 0.00176(46/46)	統一登記 0.00176(46/46)	社會福利 0.001721(38/286)	相關規定 0.001607(50/272)	
做事 0.006756(189/280)	嚴部長 0.004986(138/148)	環境保護 0.003758(107/274)	來台灣 0.003685(109/286)	和平發展 0.003396(93/390)	集團董事長 0.002927(91/472)	公共運輸 0.002493(68/190)	蘋果公司 0.002493(65/117)	台塑集團 0.00206(63/292)	台灣三星 0.001735(48/62)	
永續發展 0.004728(131/262)	資料顯示 0.00371(110/536)	宏達電 0.003673(102/211)	生活品質 0.002982(81/202)	文化創意 0.002582(74/156)	台北市政府 0.002473(66/372)	值得注意 0.002219(71/376)	民國100年 0.002073(56/108)	審議委員會 0.001637(42/290)	老樹 0.001564(43/97)	
下午4時 0.007667(229/536)	台北捷運 0.006086(176/288)	捷運公司 0.005811(173/218)	歷史新高 0.005811(164/928)	受害者 0.003713(114/176)	租賃公司 0.002545(74/79)	電動巴士 0.002476(72/72)	新高紀錄 0.002269(64/370)	者家屬 0.002235(62/258)	沒有人 0.002201(73/320)	
協會理事長 0.00954(268/388)	發展協會 0.006539(191/250)	資本市場 0.005503(153/343)	櫃買中心 0.005181(142/209)	創下歷史 0.004502(132/248)	社區發展 0.003681(102/104)	優於預期 0.003109(87/237)	競選團隊 0.003073(85/193)	工業電腦 0.002966(84/143)	中心表示 0.002573(81/148)	
投資者 0.007334(191/362)	市場需求 0.006384(161/440)	今年3月 0.003838(100/370)	運動中心 0.003572(95/172)	營收可望 0.003002(79/209)	業績成長 0.002964(81/230)	營收比重 0.002698(70/168)	國泰人壽 0.002622(64/159)	國泰世華 0.002432(67/193)	營業利益 0.002432(62/152)	
供應鏈 0.008957(255/584)	法人指出 0.004228(114/274)	季業績 0.004228(118/315)	7月1日 0.003977(119/602)	相關產品 0.003583(98/194)	7月30日 0.002472(70/158)	皇家公主號 0.001935(54/54)	今年營運 0.001863(51/123)	公主遊輪 0.001863(52/54)	業績可望 0.001827(54/95)	
年減 0.004526(120/207)	提供客戶 0.00319(79/129)	國防部長嚴明 0.00319(88/141)	國民黨中央 0.002745(75/184)	市場競爭 0.002671(73/112)	中國市場 0.002597(66/186)	行動代號 0.002337(64/89)	學生們 0.002263(54/176)	藍色大門 0.002152(58/58)	弱勢家庭 0.001966(53/316)	
台灣市場 0.004379(123/286)	沒問題 0.003738(108/196)	約新台幣 0.003453(99/228)	清算行 0.002777(78/78)	台電公司 0.002706(76/112)	今年3月 0.00267(72/370)	精品業者 0.00235(66/66)	新車 0.002101(60/358)	7月21日 0.001994(56/98)	人民幣清算 0.001709(48/74)	
工作人員 0.0077(224/512)	大法人 0.006555(186/361)	相關訊息 0.00444(126/178)	文教基金會 0.003191(99/284)	飯店業者 0.002567(70/130)	股王大立光 0.002497(74/131)	服務中心 0.002324(70/326)	大考中心 0.002081(60/60)	7月19日 0.002047(58/108)	新地標 0.001977(59/94)	
航空公司 0.016305(435/808)	長榮航空 0.006142(169/186)	大賣場 0.004643(134/164)	石化管線 0.004424(118/528)	社會企業 0.002669(70/158)	次長杜紫軍 0.002669(80/142)	經濟部次長 0.002303(63/164)	貨品貿易 0.001938(55/123)	受到影響 0.001865(50/282)	星空聯盟 0.001828(50/50)	
103年7月 0.016289(462/586)	7月1日 0.007037(202/602)	戶政事務所 0.006614(187/200)	生技產業 0.004363(131/216)	社保基金 0.002885(82/82)	勞動部 0.002533(73/460)	合作關係 0.0019(54/260)	出生登記 0.001865(53/53)	運分析 0.00183(52/52)	新創事業 0.00183(53/135)	
電子商務 0.007769(233/722)	原物料 0.004033(127/190)	業者說 0.00238(73/154)	衛生管理法 0.002314(70/70)	大腸桿菌群超標 0.002248(68/68)	開賣 0.001951(53/207)	國際志工 0.001885(57/58)	國際組織 0.001885(58/112)	想說 0.001852(65/144)	不符規定 0.001653(49/82)	
中華電信 0.019944(612/1046)	相關單位 0.014511(437/708)	當地居民 0.008415(262/356)	都市計畫 0.00603(179/444)	快捷巴士 0.005632(169/202)	台灣大道 0.0055(170/246)	公司董事長 0.005069(147/320)	集團旗下 0.004771(137/382)	金融機構 0.004638(135/352)	科技公司 0.004108(131/262)	
彭博報導 0.012854(392/394)	市長參選人 0.007928(239/712)	成長動能 0.005449(157/402)	變形金剛 0.004959(149/182)	今天公布 0.004927(144/262)	上午10時 0.003491(118/340)	財富管理 0.003393(105/218)	民調結果 0.003361(102/326)	中央社陳昱婷 0.002969(90/91)	獲利成長 0.002741(85/144)	
