復興航空 0.007841(474/668)	媒體報導 0.005551(330/830)	台灣經濟 0.004826(299/728)	台獨黨綱 0.002487(148/491)	服貿協議 0.002454(144/822)	量身 0.001796(107/180)	馬公機場 0.001779(108/108)	經濟部長張家祝 0.001746(100/318)	罹難者 0.001581(104/784)	主委曾銘宗 0.001581(101/226)	
航空公司 0.009529(601/808)	12年國教 0.005216(335/404)	免試入學 0.004282(275/275)	十二年國教 0.002818(178/352)	特色招生 0.0026(167/167)	8月2日 0.002351(151/244)	長榮航空 0.002304(145/186)	公司表示 0.002164(140/290)	台灣經濟 0.002149(133/728)	級分 0.001931(124/130)	
智慧型手機 0.01297(995/1126)	中華電信 0.008078(613/1046)	平板電腦 0.006216(469/636)	智慧手機 0.004236(315/348)	鴻海集團 0.003698(289/344)	董事長郭台銘 0.002977(225/256)	合作夥伴 0.002964(225/298)	台灣大 0.00278(211/214)	亞太電信 0.002662(203/223)	台灣大哥大 0.002597(197/198)	
馬英九總統 0.006096(369/714)	國營事業 0.003409(202/210)	戶政事務所 0.003359(200/200)	7月1日 0.002234(135/602)	購物中心 0.001999(114/358)	政治人物 0.001646(103/498)	社會企業 0.001495(88/158)	大飯店 0.001495(87/448)	公共自行車 0.001444(85/100)	8月15日 0.001444(91/216)	
2014年8月 0.001744(90/796)	8月21日 0.001674(97/134)	前立委顏清標 0.001447(85/90)	海峽兩岸 0.001413(77/350)	今年4月 0.001378(75/366)	警方表示 0.001273(68/132)	停車格 0.001256(72/86)	國際金融 0.001134(74/165)	司法互助 0.001064(62/79)	民進黨新北 0.000977(54/95)	
新北市 0.012862(1216/2388)	新北市長 0.01208(1131/1236)	市長朱立倫 0.00962(918/1004)	訪台 0.009018(855/858)	兩岸關係 0.0083(770/1526)	國台辦主任 0.007043(667/968)	主任張志軍 0.006906(653/954)	大陸國台辦 0.006632(628/628)	市長陳菊 0.005069(487/884)	陸委會主委 0.004182(396/396)	
經濟成長 0.009656(811/864)	地方政府 0.007877(660/1190)	中國大陸 0.004774(419/4584)	彭博報導 0.004413(361/394)	大陸經濟 0.004197(350/492)	區域經濟 0.004113(349/394)	貿易協定 0.003788(316/328)	經濟成長率 0.003764(324/416)	全球經濟 0.003608(295/366)	經濟合作 0.003367(276/480)	
郝龍斌 0.018435(1161/1432)	電子商務 0.007237(451/722)	台北市長郝 0.005256(330/440)	新產品 0.004793(305/521)	產業發展 0.004585(288/754)	台北股市 0.00401(249/355)	股市今天 0.003211(198/247)	台北市政府 0.002109(131/372)	都市計畫 0.002109(130/444)	龍斌說 0.002029(131/140)	
推薦新聞 0.004759(289/552)	人工生殖 0.003242(203/203)	代表處 0.00313(202/286)	陳震遠 0.002411(151/151)	開發單位 0.001821(115/122)	值得注意 0.001789(110/376)	陳震武 0.001773(111/111)	電子票證 0.001645(99/164)	原物料 0.001437(90/190)	環境影響 0.001389(86/160)	
基金經理人 0.01003(800/824)	新興市場 0.006691(535/942)	高收益 0.006043(485/485)	收益債 0.004099(329/329)	貨幣政策 0.003402(271/346)	法人表示 0.003302(270/447)	企業獲利 0.002991(241/251)	為例 0.002691(212/836)	歐洲央行 0.002617(212/212)	資料顯示 0.00233(188/536)	
總統馬英九 0.008294(515/1040)	公路總局 0.004763(295/324)	審議委員會 0.004374(273/290)	基本工資 0.004341(274/700)	工資審議 0.003046(188/188)	物價指數 0.002997(192/292)	消費者物價 0.002819(175/226)	資料顯示 0.002527(161/536)	國家風景區 0.001831(113/140)	信義房屋 0.001701(103/151)	
