統一渡假村 0.004312(202/205)	鹿港文創 0.003411(159/159)	創會館 0.003239(151/151)	台灣國際 0.001823(82/200)	開賣 0.001802(82/207)	社會企業 0.001802(86/158)	7月10日 0.001673(75/148)	7月11日 0.001609(68/138)	勞動力發展 0.001609(75/152)	系列產品 0.001523(70/165)	
房地合一 0.008725(478/478)	實價課稅 0.007119(390/390)	鐵路電氣化 0.005659(310/310)	花東鐵路 0.005367(294/294)	普悠瑪號 0.005221(286/286)	公益活動 0.003578(196/340)	到台東 0.002884(158/192)	合一實價 0.00272(149/149)	不動產交易 0.002209(123/123)	普悠瑪列車 0.002099(115/115)	
行政院長江 0.011693(546/728)	長江宜樺 0.010524(509/702)	新興市場 0.00776(360/942)	民進黨立委 0.007016(331/734)	公路總局 0.006378(300/324)	台中市政府 0.00489(226/312)	江宜樺 0.004869(229/300)	今天表示 0.003529(171/1074)	國寶人壽 0.003189(144/295)	購物中心 0.002466(115/358)	
鴻海董事長 0.003194(154/188)	認購權證 0.003129(146/240)	7月1日 0.002186(98/602)	奈米製程 0.002186(101/178)	資產配置 0.002144(98/152)	大股東 0.002101(93/356)	鴻海集團 0.001993(87/344)	產業園區 0.001951(96/180)	法人認為 0.001801(85/206)	獲利了結 0.001801(80/142)	
大股東 0.003322(155/356)	8月15日 0.002632(129/216)	報導指出 0.00261(113/498)	電子商務 0.002524(113/722)	彰化縣長 0.001985(90/174)	消息人士 0.00179(80/378)	商業銀行 0.001704(78/157)	金融服務 0.001704(83/172)	募款晚會 0.001618(75/75)	水上樂園 0.001596(77/93)	
103年6月 0.006745(315/604)	都市更新 0.003614(174/342)	報告指出 0.003404(167/344)	8月1日 0.00332(155/438)	交換意見 0.002795(128/358)	修正草案 0.002564(124/286)	民進黨立委 0.002375(108/734)	黨中央 0.001996(95/490)	中共海軍 0.001807(84/100)	今年3月 0.001765(84/370)	
參選人連勝文 0.010996(579/728)	國民黨台北市長 0.008067(449/564)	在野整合 0.005176(281/294)	自由經濟 0.00385(206/770)	台北市長參選人 0.003794(199/1282)	經濟示範區 0.003757(195/708)	搭車 0.00361(198/292)	快捷巴士 0.00326(176/202)	特別條例 0.003168(173/392)	台灣大道 0.003168(173/246)	
應變中心 0.007668(343/470)	災害應變 0.006139(276/384)	氣爆意外 0.003967(179/402)	運動中心 0.003435(153/172)	活動期間 0.002371(107/322)	公共建設 0.002305(103/258)	競選連任 0.002216(101/182)	宏達電 0.002039(92/211)	世界展望會 0.001817(82/82)	投入救援 0.001684(77/90)	
地方政府 0.01531(839/1190)	社會住宅 0.013983(769/792)	合宜住宅 0.012164(668/944)	新北市 0.008419(439/2388)	住宅政策 0.0052(286/286)	副縣長 0.004328(232/562)	營建署長 0.003764(207/207)	涉貪 0.003328(186/343)	租金補貼 0.002928(159/222)	八德合宜 0.002673(149/269)	
加權指數 0.003523(219/219)	新台幣兌 0.002574(159/259)	人受傷 0.002509(151/330)	大法人 0.002477(155/361)	小跌 0.002155(136/180)	台股指數 0.002075(128/129)	字頭 0.002043(128/188)	工業指數 0.002011(125/125)	大漲 0.001834(117/130)	台北股市 0.001721(109/355)	
壽險公司 0.003385(164/273)	生技產業 0.00318(160/216)	海外投資 0.002319(112/167)	人士指出 0.002052(97/370)	知情人士 0.001703(82/176)	創新獎 0.001683(81/100)	網路投保 0.001601(78/78)	線上報名 0.00158(77/100)	海外不動產 0.001477(72/78)	選舉委員會 0.001416(74/140)	
網路簡訊 0.002914(146/146)	經濟發展 0.002874(141/1042)	同業公會 0.002475(123/274)	華山基金會 0.002175(109/109)	就業中心 0.001996(99/100)	創園區 0.001896(98/118)	暑假期間 0.001876(90/302)	回饋社會 0.001796(96/190)	科技大學 0.001756(96/370)	社會新鮮人 0.001736(88/144)	
2014年8月 0.005996(273/796)	黨中央 0.003761(177/490)	弱勢家庭 0.003245(140/316)	勞退基金 0.002321(108/108)	上午6時 0.00202(92/624)	身障者 0.001956(87/148)	週三台北 0.001762(79/610)	中心主任 0.001762(82/414)	貿易協議 0.001698(76/339)	在野大聯盟 0.001677(77/211)	
監督條例 0.00704(435/689)	自由經濟 0.006699(417/770)	兩岸協議 0.006212(384/581)	經濟示範區 0.00592(375/708)	服貿協議 0.00558(358/822)	協議監督 0.005304(329/503)	經濟合作 0.004104(248/480)	自由貿易 0.003309(202/474)	教宗方濟 0.003082(190/190)	區域經濟 0.002904(183/394)	
解決方案 0.006645(322/466)	產業發展 0.006223(290/754)	國際市場 0.002932(134/254)	觀光產業 0.002721(131/384)	研究人員 0.002721(130/174)	暑假期間 0.002595(120/302)	系列活動 0.002299(105/226)	國家公園 0.002236(108/484)	經濟部工業局 0.002046(93/216)	季營運 0.002004(92/237)	
