郝龍斌 0.028401(1302/1432)	基隆市長 0.017211(789/789)	台北市長郝 0.008093(374/440)	國民黨提名 0.005584(254/266)	參選基隆 0.004908(225/225)	市長選舉 0.003839(179/299)	市長參選人 0.003687(169/712)	黨中央 0.00349(156/490)	台北市政府 0.003469(158/372)	議長黃景泰 0.003425(162/384)	
台中市長 0.009219(304/622)	主管機關 0.00715(244/1112)	環保局表示 0.004351(141/154)	胡市長 0.003377(116/161)	民進黨台中 0.003012(99/99)	大陸政府 0.002982(97/234)	金融海嘯 0.002799(96/272)	開罰 0.002738(86/208)	污染防治 0.002434(78/94)	政府環保局 0.002404(79/112)	
主計總處 0.007905(240/372)	陳震遠 0.004681(151/151)	陳震武 0.003441(111/111)	旅行業者 0.002666(88/138)	大陸組團社 0.002573(83/86)	旅遊品質 0.002325(72/110)	空氣品質 0.002294(73/186)	國民黨中央 0.002294(74/184)	教育部長蔣偉寧 0.001705(57/134)	聲明指出 0.001612(52/184)	
電子商務 0.003788(117/722)	8月20日 0.002891(86/200)	中央軍委 0.002393(75/126)	頒獎典禮 0.002293(63/172)	跨領域 0.002227(63/98)	新興亞洲 0.001961(59/110)	台灣業者 0.001928(56/116)	南京軍區 0.001894(57/63)	財務狀況 0.001795(51/114)	吳副總統 0.001761(55/82)	
台灣經濟 0.009584(286/728)	服貿協議 0.004893(147/822)	觀光工廠 0.004623(137/174)	量身 0.004218(125/180)	主委曾銘宗 0.003408(103/226)	金管會主委 0.003273(103/230)	公共運輸 0.002936(93/190)	海峽兩岸 0.002767(86/350)	租賃公司 0.00243(73/79)	電動巴士 0.00243(72/72)	
中央氣象局 0.012543(604/604)	短暫陣雨 0.011878(572/572)	相關單位 0.008493(400/708)	提醒民眾 0.008223(392/426)	氣象局表示 0.008203(395/395)	新興市場 0.007123(345/942)	午後雷陣雨 0.006957(335/335)	補充水分 0.006417(310/310)	太平洋高壓 0.006396(308/308)	瞬間大雨 0.005586(269/269)	
女王頭 0.003681(110/110)	世界遺產 0.003012(90/90)	人認為 0.002945(91/254)	代理縣長 0.002711(81/85)	社福團體 0.002644(81/218)	編列預算 0.001841(55/180)	人民幣兌 0.001707(48/54)	台中航空站 0.001707(51/51)	地質公園 0.001707(51/51)	9月1日 0.001673(43/156)	
推薦新聞 0.011498(335/552)	服務中心 0.007241(223/326)	大股東 0.002782(76/356)	工作人員 0.002481(81/512)	空品淨化區 0.002347(70/70)	上午10時 0.002146(73/340)	系列產品 0.002112(64/165)	中午12時 0.002012(59/117)	上午8時 0.001978(56/282)	訂票 0.001877(52/104)	
總統馬英九 0.018715(585/1040)	社會住宅 0.01191(385/792)	民進黨主席 0.010429(330/598)	政治人物 0.00753(240/498)	參選人柯文哲 0.006428(205/540)	統一渡假村 0.006333(201/205)	鹿港文創 0.00501(159/159)	保險公司 0.004821(156/406)	創會館 0.004758(151/151)	慈善基金會 0.003624(118/255)	
台塑集團 0.007626(224/292)	國際機場 0.007188(214/308)	河靜鋼鐵 0.004319(128/128)	民進黨立委 0.003881(127/734)	到台灣 0.003206(92/276)	黨中央 0.00297(85/490)	上午9時 0.002801(83/246)	台新銀行 0.002767(81/135)	永豐銀行 0.002599(75/127)	遊客中心 0.002464(76/137)	
中國大陸 0.079302(2390/4584)	競爭對手 0.005344(160/326)	大股東 0.005344(160/356)	英國倫敦 0.004852(144/158)	指數下跌 0.004655(140/209)	道瓊工業 0.00436(136/173)	台北國際 0.004328(135/332)	指數上漲 0.004197(126/293)	大陸國務院 0.004164(125/322)	智慧手機 0.004131(126/348)	
新聞相關 0.030423(912/2914)	相關影音 0.030229(902/2756)	縣長吳志揚 0.01065(332/374)	國民黨立委 0.009806(298/486)	桃園縣長 0.007533(233/240)	副縣長 0.007403(221/562)	主辦單位 0.006137(194/532)	受訪表示 0.005(156/302)	縣長葉世文 0.004838(147/306)	年底選舉 0.003864(117/272)	
來台 0.043106(2306/2678)	兩岸關係 0.028668(1516/1526)	國台辦主任 0.013889(732/968)	主任張志軍 0.013889(735/954)	訪台 0.00914(480/858)	和平發展 0.007172(381/390)	大陸國台辦 0.005261(277/628)	張志軍訪 0.004371(241/370)	關係和平 0.004012(212/212)	台灣民眾 0.003955(213/560)	
石化產業 0.004128(128/321)	壽險公司 0.003836(120/273)	人士指出 0.003478(104/370)	疾病管制 0.002763(86/86)	管制署 0.002471(76/76)	海外投資 0.002438(74/167)	感染者 0.001951(58/150)	投資股票 0.001886(58/85)	公民提名 0.001821(56/56)	登革熱疫情 0.001756(53/71)	
值得注意 0.007383(221/376)	幸福人壽 0.006055(187/187)	國寶人壽 0.004339(136/295)	資料顯示 0.003821(106/536)	人力銀行 0.003335(107/324)	下午3時 0.003303(104/246)	報告指出 0.002914(86/344)	今年5月 0.002493(78/354)	接管國寶 0.001781(55/55)	新車 0.001652(50/358)	
航空公司 0.016819(716/808)	復興航空 0.011534(494/668)	長榮航空 0.003453(146/186)	罹難者 0.003242(133/784)	澎湖空難 0.003171(134/226)	人工生殖 0.003171(137/203)	馬來西亞航空 0.003124(133/146)	馬公機場 0.002537(108/108)	防空飛彈 0.00242(104/115)	飛彈擊落 0.002302(94/198)	
基金經理人 0.013789(795/824)	新興市場 0.009441(543/942)	高收益 0.008402(485/485)	貨幣政策 0.005786(334/346)	收益債 0.0057(329/329)	法人表示 0.004625(270/447)	企業獲利 0.004227(240/251)	歐洲央行 0.003655(209/212)	經濟成長 0.003551(211/864)	經濟數據 0.003447(199/206)	
發展協會 0.006284(196/250)	來台灣 0.003413(100/286)	營收達 0.003126(95/239)	駐美 0.003062(93/122)	日常生活 0.002935(91/178)	外貿協會 0.002616(90/230)	美代表 0.002616(80/104)	沒人 0.002201(78/364)	社區發展 0.002169(67/104)	網購 0.001978(62/136)	
智慧型手機 0.024192(933/1126)	平板電腦 0.01389(539/636)	供應鏈 0.011567(444/584)	智慧手機 0.004906(194/348)	合作夥伴 0.004673(185/298)	季業績 0.004673(181/315)	法人指出 0.004079(162/274)	穿戴式裝置 0.003744(148/198)	相關產品 0.003486(138/194)	換機 0.003382(133/183)	
生物多樣性 0.008324(242/248)	競選總部 0.005699(168/358)	氣候變遷 0.004939(143/360)	到高雄 0.004594(137/240)	大台中 0.004559(130/218)	國會議員 0.003972(105/236)	歐洲聯盟 0.003489(104/152)	願景 0.002867(82/326)	生技產業 0.00266(78/216)	參選人林佳龍 0.002349(67/147)	
氣候變遷 0.005541(167/360)	彰化縣長 0.001836(51/174)	代店 0.001803(55/105)	大樂透 0.001769(54/79)	七夕情人節 0.001736(55/184)	聯成電腦 0.001536(46/46)	例行記者會 0.001502(44/104)	國防部發言人 0.001502(44/81)	發布新聞稿 0.001402(45/180)	咖啡鏽 0.001402(42/42)	
證券市場 0.002293(64/98)	台灣市場 0.002124(55/286)	金融商品 0.002057(59/110)	新興國家 0.001888(55/138)	台灣產業 0.001787(50/228)	大漲 0.001787(52/130)	亞太地區 0.001787(58/222)	公開資訊 0.00172(54/56)	參與者 0.001686(49/106)	永續經營 0.001652(46/140)	
公司表示 0.004649(142/290)	報告指出 0.004188(128/344)	恢復正常 0.004056(115/236)	送禮 0.003693(119/190)	七夕情人節 0.00366(108/184)	台灣高鐵 0.003627(109/252)	高鐵公司 0.003199(97/168)	優於預期 0.003133(95/237)	消費滿 0.00244(72/248)	貿易協議 0.002407(77/339)	
大飯店 0.010612(373/448)	台灣觀光 0.005951(205/266)	交通部觀光局 0.005482(188/300)	器官捐贈 0.00384(131/131)	世界盃足球賽 0.003665(120/220)	晶華酒店 0.003459(117/140)	季獲利 0.00299(94/202)	路跑活動 0.002404(84/148)	觀光產業 0.002287(84/384)	晶英酒店 0.002199(76/81)	
都市更新 0.004268(121/342)	市長賴清德 0.002937(89/388)	交通運輸 0.002698(76/142)	稽徵機關 0.002322(68/72)	七月一日 0.002117(62/110)	賴清德表示 0.002049(60/96)	高市府 0.001742(46/336)	提出申請 0.001673(46/196)	差別收費 0.001673(49/61)	積水容器 0.001605(47/59)	
