中國大陸 0.069375(4014/4584)	國家主席 0.01072(624/624)	大陸國家 0.010496(608/634)	美國總統 0.006332(365/462)	主席習 0.00628(363/484)	總統歐巴馬 0.005024(284/400)	大陸國務院 0.003287(192/322)	競爭對手 0.002822(171/326)	國務院總理 0.002736(160/168)	總理李克強 0.002615(152/162)	
到高雄 0.002876(98/240)	7月19日 0.002089(75/108)	到台北 0.001877(59/114)	電信公司 0.001786(60/158)	筆電 0.001604(55/160)	國立大學 0.001544(49/86)	民進黨提名 0.001514(48/125)	7月31日 0.001423(48/288)	武器裝備 0.001423(50/75)	招募中心 0.001423(47/55)	
注中獎 0.006193(237/237)	消費滿 0.005488(209/248)	7月1日 0.002718(105/602)	機會獲得 0.002666(99/120)	抽獎活動 0.002483(96/122)	優惠活動 0.001986(81/136)	女學生 0.001986(75/128)	今彩 0.001934(78/83)	7月7日 0.001908(70/170)	預計今年 0.001856(69/280)	
8月1日 0.008803(304/438)	成長動能 0.00449(144/402)	上午11時 0.00402(133/404)	主要原因 0.003023(107/250)	財富管理 0.002993(99/218)	美國海軍 0.002759(97/122)	中共海軍 0.002729(92/100)	股價表現 0.002054(70/172)	國際資金 0.001996(75/161)	防空飛彈 0.00182(62/115)	
新興市場 0.021813(755/942)	為例 0.004369(138/836)	外貿協會 0.004055(142/230)	大賣場 0.003883(137/164)	中央公園 0.003341(115/200)	金融海嘯 0.003255(124/272)	金融市場 0.002798(96/199)	大陸政府 0.00257(88/234)	搶市 0.002341(85/151)	競爭激烈 0.002027(67/186)	
來台 0.038263(1789/2678)	觀光產業 0.004837(223/384)	陸客來 0.003977(184/216)	台灣觀光 0.002666(126/266)	大飯店 0.002623(122/448)	台觀光 0.002214(103/112)	自由行 0.002107(96/186)	營收達 0.002107(98/239)	穩定成長 0.002064(98/200)	商業營業額 0.002042(96/99)	
政務委員 0.004482(158/222)	發言人孫立群 0.0039(137/262)	行政院發言人 0.003551(124/224)	青年顧問團 0.002765(95/95)	業者表示 0.002532(91/346)	受歡迎 0.002445(84/242)	行政院政務 0.002416(83/116)	孫立群表示 0.001979(67/96)	國際金融 0.001805(60/165)	特別推出 0.00163(56/133)	
台北國際 0.004211(142/332)	罹難者 0.003534(123/784)	今年7月 0.002533(86/302)	提出申請 0.002326(73/196)	開罰 0.002326(82/208)	南港展覽館 0.001944(69/97)	生物科技 0.001649(62/170)	民眾發現 0.00159(53/61)	元大寶來 0.001414(46/260)	從業人員 0.001266(35/122)	
新北市 0.042354(1942/2388)	新北市長 0.026696(1218/1236)	市長朱立倫 0.021418(976/1004)	訪台 0.014607(666/858)	103年6月 0.010424(476/604)	臉書 0.01003(456/1060)	市長胡志強 0.007862(364/654)	市長陳菊 0.007161(339/884)	召開記者會 0.006351(284/822)	大陸國台辦 0.005935(280/628)	
高雄市政府 0.012605(550/1468)	石化專區 0.012299(522/522)	石化管線 0.011545(486/528)	石化產業 0.005985(254/321)	國家安全 0.003817(165/422)	地方政府 0.002851(122/1190)	立法院長王金平 0.002804(116/308)	審議委員會 0.002663(116/290)	經濟部長杜紫軍 0.002663(111/134)	嚴部長 0.002639(113/148)	
