電子商務 0.011465(517/722)	產業發展 0.009911(430/754)	監督條例 0.008739(386/689)	兩岸協議 0.007253(321/581)	協議監督 0.006352(279/503)	網路簡訊 0.003289(146/146)	就業機會 0.003266(145/432)	馬政府 0.002816(120/612)	積極推動 0.002343(97/410)	召開臨時會 0.002117(90/187)	
國是會議 0.010974(464/468)	經貿國是 0.010288(436/440)	注中獎 0.005605(237/237)	中獎號碼 0.004423(187/187)	今天下午 0.003169(139/406)	河靜鋼鐵 0.003028(128/128)	號碼為 0.002767(117/137)	國際社會 0.002649(109/252)	無人 0.002555(116/540)	台塑集團 0.002129(89/292)	
行動裝置 0.007071(296/422)	主計總處 0.006381(268/372)	大股東 0.006209(254/356)	做公益 0.00372(153/262)	應用程式 0.003129(127/186)	做事 0.00308(124/280)	報導指出 0.002784(115/498)	行動通訊 0.00239(96/148)	開發商 0.002316(98/186)	金融服務 0.002292(90/172)	
推薦新聞 0.008429(336/552)	消費滿 0.005778(229/248)	8月7日 0.003802(151/280)	資料顯示 0.002376(103/536)	中國政府 0.001951(82/282)	國民黨中常會 0.001826(72/204)	值得注意 0.001801(68/376)	8月9日 0.001751(70/94)	相關規定 0.001551(58/272)	台中市政府 0.001526(63/312)	
中國大陸 0.049739(3271/4584)	復興航空 0.006838(468/668)	國家主席 0.006466(449/624)	大陸國家 0.006273(421/634)	美國總統 0.006214(426/462)	總統歐巴馬 0.005545(370/400)	消息人士 0.005292(359/378)	報導說 0.002825(195/262)	分離主義 0.002587(175/179)	美國國務卿 0.002572(172/250)	
兩岸關係 0.022889(1503/1526)	國台辦主任 0.014791(968/968)	主任張志軍 0.014577(954/954)	來台 0.010834(704/2678)	訪台 0.008465(554/858)	大陸國台辦 0.006662(437/628)	和平發展 0.005791(382/390)	太陽花 0.005501(357/416)	陸委會主委 0.005287(345/396)	台灣民眾 0.005256(354/560)	
購物中心 0.00774(289/358)	宣布參選 0.002913(108/273)	女學生 0.002697(100/128)	今天下午 0.002508(96/406)	貿易協議 0.001996(75/339)	日盛證券 0.001807(67/78)	精品業者 0.00178(66/66)	台北市民 0.001753(66/150)	全國電子 0.001699(66/135)	服務貿易 0.001672(64/313)	
今天上午 0.004876(188/430)	高速公路 0.003762(153/264)	主席習 0.003663(147/484)	大陸國家 0.002277(94/634)	8月21日 0.002104(85/134)	龍斌說 0.001906(76/140)	總統朴槿惠 0.001584(64/228)	21日週四 0.00151(62/101)	台南市政府 0.001485(65/206)	基福公路 0.001436(58/58)	
董事長郭台銘 0.006376(251/256)	鴻海集團 0.006351(249/344)	集團董事長 0.004395(176/472)	鴻海董事長 0.003684(148/188)	發布新聞稿 0.003303(128/180)	產業合作 0.002642(103/154)	智慧城市 0.002388(99/126)	海峽兩岸 0.002007(77/350)	協會理事長 0.001982(83/388)	國民黨發言人 0.001778(74/185)	
標準時間 0.060358(3428/3482)	台北標準 0.06027(3427/3480)	時間下午 0.030927(1758/1758)	新鮮事 0.023292(1324/1324)	天下新鮮 0.023011(1308/1308)	時間上午 0.022958(1302/1782)	達志影像 0.014566(828/828)	中央社2014年 0.014461(820/854)	2014年6月 0.014232(807/920)	週四台北 0.013845(790/804)	
